Site,Latitude,Longitude,Path,Row,landsat_8,landsat_9,sentinel_2a,sentinel_2b
Tombigbee1,32.926,-88.207,21,37,14/06/2023 16:24,06/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Black Warroir,33.011,-87.639,21,37,14/06/2023 16:24,06/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Tombigbee2,32.532,-87.853,21,37,14/06/2023 16:24,06/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Cahaba1,32.445,-87.18,20,38,07/06/2023 16:24,15/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Cahaba2,32.445,-87.18,21,37,14/06/2023 16:24,06/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Alabama1,32.318,-87.093,20,38,07/06/2023 16:24,15/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Alabama2,32.318,-87.093,21,37,14/06/2023 16:24,06/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Alabama3,32.318,-87.093,21,38,07/06/2023 16:24,06/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Alabama4,32.406,86.457,41,38,14/06/2023 16:24,06/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Tombigbee3,32.852,-88.161,21,37,14/06/2023 16:24,15/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
Mobile,31.133,-87.945,21,38,14/06/2023 16:24,15/06/2023 16:24,06/06/2023 16:45,11/06/2023 16:28
